Started Logging on Sun Mar 07 22:50:15 1999 
count,hh,mm,ss,AD1,AD2,AD3,AD4,IP1,IP2,IP3,IP4
000500,22,50,17,116,113,119,006,0,0,0,0
000501,22,50,17,116,113,119,006,0,0,0,0
000502,22,50,17,116,113,117,006,0,0,0,0
000503,22,50,17,117,113,116,006,0,0,0,0
000504,22,50,17,116,113,116,006,0,0,0,0
000505,22,50,17,116,113,119,006,0,0,0,0
000506,22,50,17,116,113,119,006,0,0,0,0
000507,22,50,17,117,116,119,006,0,0,0,0
000508,22,50,17,116,113,119,006,0,0,0,0
000509,22,50,17,116,113,118,006,0,0,0,0
000510,22,50,17,116,113,117,006,0,0,0,0
000511,22,50,17,116,113,117,006,0,0,0,0
000512,22,50,17,116,113,116,006,0,0,0,0
000513,22,50,17,116,114,116,006,0,0,0,0
000514,22,50,17,116,113,116,006,0,0,0,0
000515,22,50,17,117,115,119,006,0,0,0,0
000516,22,50,17,116,114,117,006,0,0,0,0
000517,22,50,17,116,113,118,007,0,0,0,0
000518,22,50,17,116,113,116,006,0,0,0,0
000519,22,50,17,116,113,116,006,0,0,0,0
000520,22,50,17,116,113,116,006,0,0,0,0
000521,22,50,17,116,113,118,006,0,0,0,0
000522,22,50,17,116,113,119,006,0,0,0,0
000523,22,50,17,116,113,120,006,0,0,0,0
000524,22,50,17,116,114,120,007,0,0,0,0
000525,22,50,17,117,114,121,006,0,0,0,0
000526,22,50,17,116,114,120,006,0,0,0,0
000527,22,50,17,116,113,121,006,0,0,0,0
000528,22,50,17,116,113,118,006,0,0,0,0
000529,22,50,17,116,113,116,006,0,0,0,0
000530,22,50,17,118,113,116,006,0,0,0,0
000531,22,50,17,116,113,118,006,0,0,0,0
000532,22,50,17,116,113,117,006,0,0,0,0
000533,22,50,17,116,113,116,006,0,0,0,0
000534,22,50,17,116,113,118,006,0,0,0,0
000535,22,50,17,116,113,117,007,0,0,0,0
000536,22,50,17,116,113,117,006,0,0,0,0
000537,22,50,17,116,113,117,006,0,0,0,0
000538,22,50,17,116,113,116,006,0,0,0,0
000539,22,50,17,116,113,118,006,0,0,0,0
000540,22,50,17,116,113,118,006,0,0,0,0
000541,22,50,17,116,113,117,006,0,0,0,0
000542,22,50,17,118,113,118,006,0,0,0,0
